Экспериментальные данные 
ПР 3-1

N         v1         v2
140         -10.315747         -11.8655218
141         -10.430077         -10.002014
142         -11.1259383         -9.48501522
143         -11.2264816         -9.61160118
144         -10.2940811         -12.5162639
145         -12.0558477         -8.98873825
146         -9.12817572         -9.59347006
147         -10.5504979         -11.0311535
148         -8.60815099         -12.4574316
149         -8.53564374         -10.8552425
150         -8.84636507         -10.1928354
151         -9.60941414         -12.2922141
152         -7.2277298         -12.0565351
153         -11.9450807         -9.39588703
154         -12.5531084         -10.6180069
155         -10.1733224         -10.7645065
156         -10.1742903         -15.6920364
157         -10.8339127         -9.24783909
158         -9.64843623         -8.51715914
159         -8.87997568         -8.63504569
160         -12.9404076         -11.4094404
161         -10.3143352         -10.2934399
162         -10.4764592         -10.7738918
163         -7.75781372         -10.7052052
164         -11.1004762         -10.9275969
165         -7.02928796         -7.61589741
166         -7.43105319         -13.359252
167         -12.7420069         -9.74904255
168         -8.93074837         -11.9483323
169         -9.81778964         -10.0900609
170         -11.1716962         -9.59328935
171         -9.29714292         -6.31715037
172         -9.60898042         -11.1012968
173         -8.35299528         -13.0692911
174         -10.7437244         -11.3633446
175         -10.6294791         -11.4082097
176         -8.62967587         -10.7559354
177         -10.4248213         -8.37880579
178         -10.3209055         -8.14463602
179         -9.46181573         -7.99014132
180         -9.08543145         -11.780548
181         -9.11574039         -10.3708287
182         -9.92361055         -8.58155465
183         -9.57283906         -7.86232953
184         -13.8515755         -7.50471556
185         -6.02440416         -10.6138524
186         -5.74486249         -7.67311342
187         -9.07615548         -6.52898694
188         -10.5203815         -9.67124254
189         -6.76981668         -11.0951222
190         -12.1844905         -14.3736913
191         -10.8946202         -8.65153954
192         -5.05278921         -9.42774871
193         -9.31373244         -7.60655641
194         -13.7244638         -8.92360178
195         -10.5015065         -15.0467542
196         -10.6154902         -10.3942828
197         -9.77358968         -6.76028199
198         -8.13179202         -9.67546768
199         -14.3244998         -9.70289773
200         -9.34206067         -10.9439518
201         -10.7673946         -14.2333639
202         -10.9563325         -9.11645156
203         -9.1264174         -8.04477135
204         -10.35991         -9.21784959
205         -9.51319441         -7.7955323
206         -10.4129897         -10.7778221
207         -10.5238417         -8.39248475
208         -10.5068092         -12.0358183
209         -7.64825005         -8.69595415
210         -7.06413523         -9.38511717
211         -7.06171699         -9.68462037
212         -12.2980696         -10.3370461
213         -8.92916694         -12.7050746
214         -9.0884843         -11.7547094
215         -10.4924643         -9.82066254
216         -10.0437416         -11.5520642
217         -10.8065329         -6.62473058
218         -9.17749399         -9.46493776
219         -5.57989717         -10.2473189
220         -9.86240929         -10.7945311
221         -7.87356185         -9.99520582
222         -11.635626         -11.1930363
223         -6.3703568         -10.7426027
224         -11.0163728         -12.6305884
225         -10.1704071         -10.6908232
226         -9.93755945         -11.1004622
227         -7.49024107         -10.0315949
228         -12.3747432         -10.1773032
229         -6.75299568         -11.7710136
230         -9.28083962         -13.257226
231         -10.0909559         -11.6908256
232         -13.953989         -11.9064717
233         -13.3030308         -11.5036087
234         -8.70779994         -12.1454839
235         -11.5458165         -9.62132013
236         -6.03750053         -10.2569165
237         -7.94088697         -10.5794431
238         -11.1748006         -7.27511782
239         -11.2118537         -11.9313771
240         -14.8043368         -9.83358622
241         -11.4907449         -11.8518324
242         -11.9438548         -7.62214668
243         -10.2809509         -11.0038781
244         -7.55352664         -8.30716942
245         -8.40393059         -6.5249887
246         -9.72805688         -14.3513434
247         -11.2748754         -13.1988133
248         -10.1541137         -8.15594724
249         -12.5513373         -12.1744157
250         -11.3701203         -6.63827636
251         -6.64124214         -9.68357994
252         -8.45257501         -6.43221129
253         -9.28371782         -12.8753838
254         -11.2978881         -9.32048785
255         -4.99938894         -9.04297862
256         -7.66137289         -12.0707582
257         -7.98902461         -10.829131
258         -7.73126202         -9.13684418
259         -8.50629101         -9.14772735
260         -11.4337749         -11.6800303
261         -11.0525841         -10.3572635
262         -8.28530392         -12.6849191
263         -9.85463439         -11.0129505
264         -6.65756878         -7.88392926
265         -10.3690792         -6.97531837
266         -11.1238767         -12.3026958
267         -8.83039143         -10.4483969
268         -10.0149421         -8.86348896
269         -7.36923966         -7.74048731
270         -12.0269017         -8.46062523
271         -13.9199573         -8.29672796
272         -10.1088326         -9.42505537
273         -10.3675859         -8.85131367
274         -8.89540475         -9.63112507
275         -7.66017857         -13.3592245
276         -11.547031         -9.42750148
277         -8.13079588         -13.3363997
278         -9.93016896         -7.64838015
279         -11.9018916         -4.00778935
280         -10.3119459         -11.9441503
281         -9.93925636         -8.26002163
282         -10.9660267         -10.296573
283         -12.4001059         -4.71766301
284         -10.8160861         -7.12265682
285         -11.8058608         -9.76650108
286         -11.0847522         -12.2132956
287         -12.2403842         -8.44998709
288         -9.96437003         -10.2910018
289         -9.99662197         -8.88798211
290         -10.7808327         -11.9984339
291         -10.501848         -7.1224272
292         -9.31173926         -8.83587459
293         -10.4300909         -13.6477104
294         -6.27859218         -9.71970119
295         -10.5199919         -11.8372723
296         -12.6536231         -10.3164973
297         -7.71772148         -10.7006006
298         -8.33089174         -9.7098468
299         -12.3173368         -12.3667254
300         -8.36246298         -10.5265338
301         -13.2312617         -7.62266736
302         -8.64552994         -10.1424236
303         -7.98792245         -13.5558905
304         -11.1729549         -11.9742866
305         -12.723696         -6.54404649
306         -8.67913049         -8.34238133
307         -7.58569837         -7.61601896
308         -8.93789228         -10.7559393
309         -8.96112718         -10.5521069
310         -10.236851         -11.0186119
311         -7.7131325         -10.8412006
312         -10.8292598         -10.1270862
313         -11.4336707         -5.45960596
314         -9.68580826         -8.67346436
315         -11.358911         -11.4178385
316         -11.9009061         -9.16333073
317         -7.8945315         -8.15234581
318         -10.3853664         -9.71625627
319         -8.95426067         -6.00020331
320         -7.98025099         -12.0584439
321         -7.64420586         -8.50598418
322         -5.11988254         -10.1525942
323         -9.20764814         -12.1159721
324         -12.968698         -12.3227852
325         -10.6058583         -9.28881418
326         -9.46957536         -9.64389257
327         -11.948543         -5.80639287
328         -8.20021096         -9.53650357
329         -12.1588213         -7.24241367
330         -11.345281         -8.4960801
331         -9.41008143         -10.4942505
332         -11.2731712         -9.85389656
333         -11.5267435         -12.3974614
334         -10.0064541         -13.684896
335         -9.20920721         -11.3533321
336         -9.32549899         -11.0170212
337         -13.2978305         -11.5680404
338         -15.3998371         -9.6074809
339         -13.2865083         -8.11101706
340         -9.70111376         -9.07477283
341         -10.9504736         -10.6065702
342         -11.1303316         -7.70137109
343         -8.9396053         -5.91850382
344         -7.84333972         -15.2163472
345         -11.8455466         -6.66408721
346         -12.0767723         -10.7481113
347         -8.84781224         -6.93674016
348         -11.7181377         -9.18786376
349         -11.1231193         -8.83623972
350         -11.8226443         -11.291711
351         -9.05887559         -10.5831007
352         -7.37322364         -9.43772729
353         -9.71019479         -6.76386432
354         -12.387286         -9.71627439
355         -8.88036305         -13.359105
356         -9.66107679         -9.45990395
357         -10.6474694         -11.2046528
358         -11.0429955         -11.1759866
359         -9.41304818         -10.6602511
360         -9.57797092         -8.7395289
361         -11.5552862         -9.90514424
362         -9.69506274         -10.7524706
363         -9.08033111         -8.82321122
364         -9.8580843         -11.6124193
365         -8.10811264         -11.6242607
366         -6.98704398         -10.4796238
367         -8.89528788         -9.48907604
368         -10.1989064         -6.76909967
369         -10.0705637         -8.51368193
370         -10.9457327         -12.3325304
371         -7.64227701         -9.79201515
372         -10.5495733         -7.36813286
373         -9.71734979         -11.4802673
374         -11.2635308         -9.61735608
375         -11.9042061         -14.4973348
376         -10.7613994         -8.47214447
377         -10.0936521         -10.4199361
378         -10.9955682         -10.9540647
379         -8.86376582         -11.9793355
380         -12.6788567         -9.78815744
381         -7.64382103         -9.7628295
382         -9.63713364         -11.5617341
383         -8.52784685         -10.2633939
384         -6.90039525         -6.8607927
385         -11.5363389         -9.94196071
386         -8.36126591         -10.1668705
387         -11.1273672         -12.3119613
388         -11.046555         -8.08981929
389         -9.35107218         -8.14252477
390         -11.2490919         -9.7266941
391         -11.3503917         -8.65536339
392         -7.96321981         -9.99786411
393         -14.3159664         -8.16145417
394         -7.70955828         -12.7701134
395         -9.03117632         -13.3061055
396         -9.96174274         -9.90850594
397         -8.73619896         -13.5099627
398         -13.3649746         -11.4026103
399         -9.59999618         -8.96831491
400         -9.03315703         -10.212406
